molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value,pIC50,assay_chembl_id,target_family,assay_type,compound_class,toxicity_risk,solubility_level,num_h_donors,num_h_acceptors,tpsa,num_rotatable_bonds,lipinski_compliant
CHEMBL161118,CHEMBL4803,NC1=NCCCO1,8200.0,5.086186147616283,CHEMBL676786,"Nitric-oxide synthase, endothelial",B,Small Molecule,5,4,1.0,3.0,47.61,0.0,1
CHEMBL161118,CHEMBL3568,NC1=NCCCO1,3700.0,5.431798275933005,CHEMBL880846,"Nitric-oxide synthase, brain",B,Small Molecule,5,5,1.0,3.0,47.61,0.0,1
CHEMBL8284,CHEMBL335,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)C(=O)N[C@@H](CC(C)C)C(N)=O,10000.0,5.0,CHEMBL772438,Protein-tyrosine phosphatase 1B,B,Peptide,1,2,12.0,13.0,413.4199999999999,27.0,0
CHEMBL701,CHEMBL2111463,NCC(CC(=O)O)c1ccc(Cl)cc1,35.0,7.455931955649724,CHEMBL682871,GABA-B receptor,B,Small Molecule,4,5,2.0,2.0,63.32000000000001,4.0,1
CHEMBL302213,CHEMBL2111463,NC[C@@H](CC(=O)O)c1ccc(Cl)cc1,1770.0,5.752026733638194,CHEMBL682871,GABA-B receptor,B,Small Molecule,1,1,2.0,2.0,63.32000000000001,4.0,1
CHEMBL430501,CHEMBL2111463,NCC(C[PH](=O)O)c1ccc(Cl)cc1,39.0,7.4089353929735005,CHEMBL682870,GABA-B receptor,B,Small Molecule,1,5,2.0,2.0,63.32000000000001,4.0,1
CHEMBL173396,CHEMBL249,O=C(Cc1ccncc1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.5,9.30102999566398,CHEMBL807904,Neurokinin 1 receptor,B,Peptide,5,1,2.0,3.0,74.85,9.0,0
CHEMBL173396,CHEMBL249,O=C(Cc1ccncc1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.4,9.397940008672036,CHEMBL807907,Neurokinin 1 receptor,B,Peptide,5,2,2.0,3.0,74.85,9.0,0
CHEMBL173396,CHEMBL249,O=C(Cc1ccncc1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.0,8.0,CHEMBL807902,Neurokinin 1 receptor,B,Peptide,5,3,2.0,3.0,74.85,9.0,0
CHEMBL176500,CHEMBL249,O=C(CCCN1CCCC1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.3,9.522878745280336,CHEMBL807904,Neurokinin 1 receptor,B,Peptide,4,2,2.0,3.0,65.2,11.0,0
CHEMBL91815,CHEMBL279,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,30.0,7.522878745280337,CHEMBL812787,Vascular endothelial growth factor receptor 2,B,Small Molecule,5,3,3.0,3.0,91.42,6.0,0
CHEMBL91815,CHEMBL3650,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,880.0,6.055517327849832,CHEMBL678670,Fibroblast growth factor receptor 1,B,Small Molecule,1,1,3.0,3.0,91.42,6.0,0
CHEMBL91815,CHEMBL1913,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,5430.0,5.265200170411153,CHEMBL764822,Platelet-derived growth factor receptor beta,B,Small Molecule,1,4,3.0,3.0,91.42,6.0,0
CHEMBL91815,CHEMBL267,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,60.0,7.221848749616356,CHEMBL843061,Tyrosine-protein kinase SRC,B,Small Molecule,5,1,3.0,3.0,91.42,6.0,0
CHEMBL91815,CHEMBL203,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,100000.0,4.0,CHEMBL679949,Epidermal growth factor receptor erbB1,B,Small Molecule,2,2,3.0,3.0,91.42,6.0,0
CHEMBL609799,CHEMBL2096677,Cc1cccc(CNc2nc(N)c3ncn(C4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,1500000.0,2.8239087409443187,CHEMBL765582,Phosphoglycerate kinase,B,Small Molecule,2,2,5.0,10.0,151.57,5.0,1
CHEMBL611861,CHEMBL2096677,Nc1nc(NCCc2ccc(O)cc2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,130000.0,3.886056647693163,CHEMBL765582,Phosphoglycerate kinase,B,Small Molecule,2,5,6.0,11.0,171.8,6.0,0
CHEMBL477,CHEMBL2096677,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3000000.0,2.5228787452803374,CHEMBL765582,Phosphoglycerate kinase,B,Small Molecule,5,4,4.0,9.0,139.54000000000002,2.0,1
CHEMBL610096,CHEMBL2096677,Nc1nc(NC2CCCCCC2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,2500000.0,2.6020599913279625,CHEMBL765582,Phosphoglycerate kinase,B,Small Molecule,4,5,5.0,10.0,151.57,4.0,1
